CODE,LOCATIONNAME,PRICE,AREA,ROOMNUMBER,BATHNUMBER,STATUS,STUDIO,ISPENTHOUSE,DUPLEX,SWIMMINGPOOL,ELEVATOR,X,Y
6606863734075793541,El Viso,1869000,290,4,3,Second hand / Good state,0,1,1,0,1,441543,4478087
9223372036854775807,Adelfas,317000,75,2,1,Second hand / Good state,0,0,0,0,1,442956,4472317
9223372036854775807,Rosas,292000,90,2,2,Second hand / Good state,0,0,0,1,1,448837,4475183
6074027706670131934,Palomeras Bajas,95000,75,3,1,Second hand / Good state,0,0,0,0,0,444520,4470756
9223372036854775807,San Diego,86000,90,0,1,Second hand / Needs reformation,0,0,0,0,0,443178,4470744
9223372036854775807,Casa de Campo,410000,105,3,2,Second hand / Needs reformation,0,0,0,0,1,437560,4475863
5541191557223014225,Lavapiés-Embajadores,235000,50,1,1,Second hand / Good state,0,0,0,0,0,440205,4473206
6831297112978890415,Tres Olivos - Valverde,135000,85,3,1,Second hand / Needs reformation,0,0,0,0,0,441356,4482735
4728532219722023383,Águilas,157000,90,3,1,Second hand / Needs reformation,0,0,0,0,1,433736,4470235
9223372036854775807,Almendrales,87000,45,1,1,Second hand / Good state,0,0,0,0,0,440380,4470765
6084644199853131319,San Juan Bautista,576000,115,3,2,Second hand / Good state,0,0,0,1,1,444077,4477818
3072698226816203455,Valdemarín,531000,155,3,3,Second hand / Unknown,0,0,1,1,1,434795,4480125
9223372036854775807,Opañel,118000,110,3,1,Second hand / Needs reformation,0,0,0,0,0,438674,4471230
9223372036854775807,Cuzco-Castillejos,1253000,260,1,2,Second hand / Good state,0,0,0,1,1,441099,4478882
5291060307664475938,Gaztambide,319000,80,1,1,Second hand / Good state,0,1,0,0,1,439431,4476693
9223372036854775807,San Juan Bautista,1133000,250,3,2,Second hand / Good state,0,1,1,1,1,444437,4478561
9223372036854775807,Ciudad Jardín,197000,55,1,1,Second hand / Needs reformation,0,0,0,0,1,442832,4477723
9223372036854775807,Fontarrón,151000,60,2,1,Second hand / Good state,0,0,0,0,0,445614,4472386
3310728779092303017,Jerónimos,1824000,210,4,2,Second hand / Good state,0,0,0,0,1,441528,4474312
9223372036854775807,Sanchinarro,786000,135,3,2,Second hand / Good state,0,1,0,1,1,444140,4482876
876336430858926523,Ciudad Universitaria,1888000,730,7,6,Second hand / Good state,0,1,1,1,1,438198,4480319
